GRPPRODNSUMMBKSEQ,PRODNUNITCD,PRODNBASISCD,TRANSACTIONDT,PROCESSDT,PRODUCTSEQ,PRODUCTCD,PRODVERSION,PRODUCTORDER,ACCOUNTCD,PRODUCERCD,PRODUCERDESIGNCD,CHANNELTYPECD,ROOTAGENCYCD,PARENTAGENCYCD,PRODUCERBRANCHCD,PRODUCERSTATUSCD,SRCAGTCLASSIFICATIONCD,SRCAGTDESIGNCD,SRCAGTSTATUSCD,PRODNWEEK,PRODNMONTH,PRODNYEAR,PRODNGROUPCD,DESIGNGROUPCD,SRCPRODNGROUPCD,PRODNVALUE,SUPERVISORCD,SUPERVISORDESIGCD,TEAMCD,MONITORINGSTAFFCD,MONITORINGSTAFFDESIGNCD,MONITORINGSTAFFOFFICECD,MONITORINGGROUPCD,SRCAGTCHANNELCD,SRCAGTROOTAGENCYCD,SRCAGTPARENTAGENCYCD,SUPERVISORAGENTKEYCD,SUPERVISORDESIGNKEYCD,CREATEDBY,CREATEDDT,CREATEDAT,UPDATEDBY,UPDATEDDT,UPDATEDAT,ROWVERSION,PRODNSUMMSEQ,WEIGHTAGE
12510739,2YP,PREMIUM,2017-02-28,2017-02-28,700,FSR3,1,,,2718,IL,INHOUSE,2339,2339,2685,ACTIVE,,,,9,2,2017,ILDEF2,,PERSONNEL,199000,,,,23991,TH,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559713332,100
12510824,2YP,PREMIUM,2017-02-28,2017-02-28,700,FSR3,1,,,2708,IL,INHOUSE,2339,2339,2685,ACTIVE,,,,9,2,2017,ILDEF2,,PERSONNEL,95000,,,,23991,TH,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559714296,100
12537837,2YP,PREMIUM,2017-02-28,2017-02-28,700,FSR3,1,,,9265,IL,INHOUSE,2339,2339,2685,ACTIVE,,,,9,2,2017,ILDEF1,,PERSONNEL,137000,,,,23991,TH,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559709449,100
12538386,2YP,PREMIUM,2017-02-28,2017-02-28,700,FSR3,1,,,3137,IL,INHOUSE,2339,2339,2685,ACTIVE,,,,9,2,2017,ILDEF1,,PERSONNEL,122000,,,,23991,TH,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559716357,100
12510461,2YP,PREMIUM,2017-02-28,2017-02-28,685,CIB1,1,,,27574,IL,INHOUSE,2339,2339,2685,ACTIVE,,,,9,2,2017,ILDEF2,,PERSONNEL,92786000,,,,23991,TH,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559708826,100
12510712,2YP,PREMIUM,2017-02-28,2017-02-28,685,CIB1,1,,,2713,IL,INHOUSE,2339,2339,2685,ACTIVE,,,,9,2,2017,ILDEF2,,PERSONNEL,13592000,,,,23991,TH,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559713103,100
12510737,2YP,PREMIUM,2017-02-28,2017-02-28,701,WOP3,1,,,2718,IL,INHOUSE,2339,2339,2685,ACTIVE,,,,9,2,2017,ILDEF2,,PERSONNEL,619000,,,,23991,TH,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559713330,100
12510803,2YP,PREMIUM,2017-02-28,2017-02-28,685,CIB1,1,,,2950,IL,INHOUSE,2339,2339,2685,ACTIVE,,,,9,2,2017,ILDEF2,,PERSONNEL,10409000,,,,23991,TH,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559714122,100
12510822,2YP,PREMIUM,2017-02-28,2017-02-28,701,WOP3,1,,,2708,IL,INHOUSE,2339,2339,2685,ACTIVE,,,,9,2,2017,ILDEF2,,PERSONNEL,189000,,,,23991,TH,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559714291,100
12511836,2YP,PREMIUM,2017-02-28,2017-02-28,670,ADD1,1,,,15100,IL,INHOUSE,2339,2339,2686,ACTIVE,,,,9,2,2017,ILDEF2,,PERSONNEL,473000,,,,6583,TH,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559712968,100
