PRODNSUMMDTLSEQ,PRODNSUMMSEQ,POLICYCD,PRODUCERCD,PRODNVALUE,PRODUCTCD,PRODUCTVERSION,TRANSACTIONDT,CREATEDBY,CREATEDDT,CREATEDAT,UPDATEDBY,UPDATEDDT,UPDATEDAT,ROWVERSION
2141482,559709381,91866,10259,303160,ADD1,1,2017-02-28,Elixir.Bpm/bpm001,2017-03-30,IND,Elixir.Bpm/bpm001,2017-03-30,IND,1
2143010,559710496,91866,10259,4279240,CIB1,1,2017-02-28,Elixir.Bpm/bpm001,2017-03-30,IND,Elixir.Bpm/bpm001,2017-03-30,IND,1
2143011,559710496,91304,10259,5177520,CIB1,1,2017-02-28,Elixir.Bpm/bpm001,2017-03-30,IND,Elixir.Bpm/bpm001,2017-03-30,IND,1
2141483,559709382,91866,10259,57200,ADD1,1,2017-02-28,Elixir.Bpm/bpm001,2017-03-30,IND,Elixir.Bpm/bpm001,2017-03-30,IND,1
2143012,559710497,91866,10259,1824970,CIB1,1,2017-02-28,Elixir.Bpm/bpm001,2017-03-30,IND,Elixir.Bpm/bpm001,2017-03-30,IND,1
2143013,559710497,91304,10259,2208060,CIB1,1,2017-02-28,Elixir.Bpm/bpm001,2017-03-30,IND,Elixir.Bpm/bpm001,2017-03-30,IND,1
2141484,559709383,91866,10259,97240,ADD1,1,2017-02-28,Elixir.Bpm/bpm001,2017-03-30,IND,Elixir.Bpm/bpm001,2017-03-30,IND,1
2143014,559710498,91866,10259,2705990,CIB1,1,2017-02-28,Elixir.Bpm/bpm001,2017-03-30,IND,Elixir.Bpm/bpm001,2017-03-30,IND,1
2143015,559710498,91304,10259,3274020,CIB1,1,2017-02-28,Elixir.Bpm/bpm001,2017-03-30,IND,Elixir.Bpm/bpm001,2017-03-30,IND,1
2141485,559709384,91866,10259,572000,ADD1,1,2017-02-28,Elixir.Bpm/bpm001,2017-03-30,IND,Elixir.Bpm/bpm001,2017-03-30,IND,1
2143016,559710499,91866,10259,12586000,CIB1,1,2017-02-28,Elixir.Bpm/bpm001,2017-03-30,IND,Elixir.Bpm/bpm001,2017-03-30,IND,1
2143017,559710499,91304,10259,15228000,CIB1,1,2017-02-28,Elixir.Bpm/bpm001,2017-03-30,IND,Elixir.Bpm/bpm001,2017-03-30,IND,1
2159057,559721989,91304,10259,1,CIB1,1,2017-02-28,Elixir.Bpm/bpm001,2017-03-30,IND,Elixir.Bpm/bpm001,2017-03-30,IND,1
2159058,559721989,91866,10259,1,CIB1,1,2017-02-28,Elixir.Bpm/bpm001,2017-03-30,IND,Elixir.Bpm/bpm001,2017-03-30,IND,1
2141471,559709370,58282,10259,382000,HSR1,1,2017-02-28,Elixir.Bpm/bpm001,2017-03-30,IND,Elixir.Bpm/bpm001,2017-03-30,IND,1
2141475,559709374,58282,10259,357000,TLR1,1,2017-02-28,Elixir.Bpm/bpm001,2017-03-30,IND,Elixir.Bpm/bpm001,2017-03-30,IND,1
2141486,559709385,91866,10259,286000,ADD1,1,2017-02-28,Elixir.Bpm/bpm001,2017-03-30,IND,Elixir.Bpm/bpm001,2017-03-30,IND,1
