"PRODUCERSOURCECD","ytd_pretax_income","ytd_tax","income_year"
"AG000002",150637360.00,7531863.00,2016
"AG000008",1417737618.00,70886875.00,2016
"AG000011",5620000.00,281000.00,2016
"AG000016",185900151.00,9295002.00,2016
"AG000023",11598420.00,0.00,2016
"AG000050",23258362.00,0.00,2016
"AG000088",97082259.00,0.00,2016
"AG000090",52015205.00,0.00,2016
"AG000096",314146.00,15707.00,2016
"AG000112",236469226.00,11823455.00,2016
"AG000114",24623690.00,0.00,2016
"AG000138",5151196.00,0.00,2016
"AG000148",26183920.00,0.00,2016
"AG000159",37143613.00,1857177.00,2016
"AG000168",36016167.00,0.00,2016
"AG000170",213780551.00,10689021.00,2016
"AG000174",218523501.00,10926168.00,2016
"AG000184",716765731.00,35838279.00,2016
"AG000187",2059750.00,102987.00,2016
"AG000215",12807325.00,0.00,2016
"AG000247",161148747.00,8057433.00,2016
"AG000269",60107650.00,0.00,2016
"AG000368",97264691.00,0.00,2016
"AG000372",33003630.00,0.00,2016
"AG000396",157921961.00,7896093.00,2016
"AG000411",39837895.00,0.00,2016
"AG000432",6415760.00,320788.00,2016
"AG000442",973408447.00,48670420.00,2016
"AG000444",1464265.00,73212.00,2016
"AG000447",61391897.00,0.00,2016
"AG000452",43331632.00,0.00,2016
"AG000465",41621865.00,0.00,2016
"AG000495",361857698.00,18092881.00,2016
"AG000505",35128978.00,0.00,2016
"AG000527",122970541.00,6148521.00,2016
"AG000548",279598605.00,13979927.00,2016
"AG000551",1483287.00,74164.00,2016
"AG000558",19504017.00,0.00,2016
"AG000559",7828484.00,0.00,2016
"AG000567",14262077.00,0.00,2016
"AG000598",159905991.00,7995295.00,2016
"AG000603",118783606.00,5939176.00,2016
"AG000636",3572257.00,178612.00,2016
"AG000640",34359151.00,1717954.00,2016
"AG000648",42184590.00,0.00,2016
"AG000652",117400676.00,5870027.00,2016
"AG000698",1017845657.00,50892278.00,2016
"AG000699",219331741.00,10966581.00,2016
"AG000711",32577265.00,0.00,2016
"AG000743",907575.00,45378.00,2016
"AG000772",766849850.00,38342485.00,2016
"AG000777",5643500.00,282174.00,2016
"AG000778",130663276.00,6533159.00,2016
"AG000809",49742955.00,0.00,2016
"AG000810",7824000.00,391198.00,2016
"AG000827",41326945.00,0.00,2016
"AG000833",58803625.00,2940180.00,2016
"AG000863",63259064.00,0.00,2016
"AG000864",7401175.00,370057.00,2016
"AG000865",10864438.00,0.00,2016
"AG000873",10101850.00,0.00,2016
"AG000882",15091799.00,754587.00,2016
"AG000884",30091155.00,0.00,2016
"AG000895",12610925.00,0.00,2016
"AG000896",1927450.00,0.00,2016
"AG000904",212811567.00,10640573.00,2016
"AG000906",29332137.00,1525249.00,2016
"AG000942",145594062.00,7279698.00,2016
"AG000952",9278575.00,463928.00,2016
"AG000961",1361928.00,68096.00,2016
"AG000964",219719975.00,10985994.00,2016
"AG000965",14481475.00,0.00,2016
"AG000973",1313795730.00,65689781.00,2016
"AG001024",7453125.00,0.00,2016
"AG001031",3100450.00,0.00,2016
"AG001040",16319650.00,0.00,2016
"AG001053",8652565.00,432627.00,2016
"AG001054",96905637.00,0.00,2016
"AG001075",23233335.00,0.00,2016
"AG001085",3551255.00,177560.00,2016
"AG001179",555550.00,27777.00,2016
"AG001181",1455625.00,72781.00,2016
"AG001190",7741110.00,487603.00,2016
"AG001216",231969639.00,11598476.00,2016
"AG001217",2057875.00,102893.00,2016
"AG001222",13628858.00,781988.00,2016
"AG001235",65478004.00,0.00,2016
"AG001252",31245862.00,1567776.00,2016
"AG001256",1137370.00,171965.00,2016
"AG001260",212237057.00,10611848.00,2016
"AG001267",366607370.00,18330362.00,2016
"AG001287",222926367.00,11146313.00,2016
"AG001292",1763133.00,88156.00,2016
"AG001295",386087258.00,19304360.00,2016
"AG001298",386215921.00,19310789.00,2016
"AG001308",347721779.00,17386083.00,2016
"AG001326",176666552.00,8833321.00,2016
"AG001327",5618910.00,280944.00,2016
"AG001370",91736401.00,4586814.00,2016
"AG001378",86546338.00,0.00,2016
"AG001383",51561590.00,2578076.00,2016
"AG001384",47560738.00,0.00,2016
"AG001390",38349385.00,0.00,2016
"AG001417",4832946.00,342193.00,2016
"AG001423",156014029.00,7800696.00,2016
"AG001425",24299255.00,0.00,2016
"AG001426",2001560.00,171965.00,2016
"AG001430",364301768.00,18215085.00,2016
"AG001439",6686872.00,406229.00,2016
"AG001443",34160341.00,0.00,2016
"AG001453",12415233.00,620760.00,2016
"AG001456",14907090.00,745352.00,2016
"AG001482",2279100.00,113955.00,2016
"AG001487",4619650.00,230979.00,2016
"AG001497",49332850.00,2466641.00,2016
"AG001504",545775.00,27288.00,2016
"AG001507",261590423.00,13079516.00,2016
"AG001508",312443867.00,15622187.00,2016
"AG001511",291307.00,14565.00,2016
"AG001523",1082068489.00,54103419.00,2016
"AG001527",6970420.00,348521.00,2016
"AG001540",557025.00,27851.00,2016
"AG001551",30111240.00,0.00,2016
"AG001559",56609820.00,0.00,2016
"AG001561",287312806.00,14365638.00,2016
"AG001563",5631250.00,281561.00,2016
"AG001582",67078551.00,0.00,2016
"AG001583",931407623.00,46570378.00,2016
"AG001584",2869676133.00,143483802.00,2016
"AG001607",26307375.00,1415913.00,2016
"AG001609",601322739.00,30066132.00,2016
"AG001612",279249884.00,13962490.00,2016
"AG001613",378764641.00,18938224.00,2016
"AG001616",5135165.00,400532.00,2016
"AG001632",321966266.00,16098307.00,2016
"AG001634",10126744.00,592787.00,2016
"AG001636",28226680.00,0.00,2016
"AG001638",417965980.00,21613726.00,2016
"AG001648",21373435.00,1068671.00,2016
"AG001666",44218550.00,2252480.00,2016
"AG001667",136948760.00,6847433.00,2016
"AG001671",4099680.00,204984.00,2016
"AG001674",17005813.00,950836.00,2016
"AG001675",31124410.00,0.00,2016
"AG001683",187236351.00,9361813.00,2016
"AG001696",84185637.00,0.00,2016
"AG001700",5647021.00,282349.00,2016
"AG001702",8479603.00,524527.00,2016
"AG001705",51999078.00,2599952.00,2016
"AG001713",104383474.00,5219168.00,2016
"AG001717",192616416.00,9630815.00,2016
"AG001735",77640162.00,0.00,2016
"AG001743",186761403.00,9338064.00,2016
"AG001746",217574893.00,10921967.00,2016
"AG001747",3029700.00,151484.00,2016
"AG001752",31042405.00,0.00,2016
"AG001753",804150.00,40207.00,2016
"AG001754",29369453.00,0.00,2016
"AG001755",593172660.00,29658626.00,2016
"AG001756",54307037.00,0.00,2016
"AG001759",26902363.00,1345115.00,2016
"AG001762",6253686.00,381636.00,2016
"AG001764",41336516.00,0.00,2016
"AG001769",9824962.00,565304.00,2016
"AG001773",20326675.00,0.00,2016
"AG001778",6783040.00,0.00,2016
"AG001791",11029840.00,0.00,2016
"AG001793",17575235.00,0.00,2016
"AG001796",1743225.00,87161.00,2016
"AG001799",52759307.00,0.00,2016
"AG001801",3011250.00,283777.00,2016
"AG001808",1428344.00,171965.00,2016
"AG001815",100142343.00,5007112.00,2016
"AG001816",2434550.00,121727.00,2016
"AG001826",17779580.00,0.00,2016
"AG001831",3864050.00,0.00,2016
"AG001857",61911153.00,0.00,2016
"AG001870",1463450.00,73172.00,2016
"AG001871",4035317.00,201764.00,2016
"AG001879",107022837.00,5351139.00,2016
"AG001880",291474645.00,14573730.00,2016
"AG001887",110140652.00,5507027.00,2016
