"PRODUCERSOURCECD","ytd_pretax_income","ytd_tax","income_year"
"AG000002",182670546.00,9133526.00,2017
"AG000008",693797985.00,34689897.00,2017
"AG000016",21033501.00,1051673.00,2017
"AG000023",703850.00,35192.00,2017
"AG000050",3528525.00,176425.00,2017
"AG000088",17412181.00,870606.00,2017
"AG000090",26188558.00,1309427.00,2017
"AG000112",81817205.00,4090859.00,2017
"AG000114",1658800.00,82940.00,2017
"AG000138",17649975.00,882498.00,2017
"AG000148",4695555.00,234777.00,2017
"AG000159",2917600.00,145880.00,2017
"AG000168",8603287.00,430162.00,2017
"AG000170",205003401.00,10250168.00,2017
"AG000184",150968207.00,7548409.00,2017
"AG000215",1458725.00,72936.00,2017
"AG000247",51240587.00,2562028.00,2017
"AG000269",8790600.00,439528.00,2017
"AG000368",5836347.00,291816.00,2017
"AG000372",3447950.00,172397.00,2017
"AG000396",18570822.00,928539.00,2017
"AG000411",10901273.00,545062.00,2017
"AG000432",5849528.00,292476.00,2017
"AG000442",134670460.00,6733522.00,2017
"AG000447",19910129.00,995504.00,2017
"AG000452",8903736.00,445184.00,2017
"AG000465",16570703.00,828534.00,2017
"AG000495",149084275.00,7454212.00,2017
"AG000505",2664400.00,133219.00,2017
"AG000527",18034425.00,901721.00,2017
"AG000558",4900200.00,245010.00,2017
"AG000559",1267775.00,63388.00,2017
"AG000567",1673900.00,83695.00,2017
"AG000598",16995870.00,849792.00,2017
"AG000603",21773574.00,1088677.00,2017
"AG000648",11448361.00,572416.00,2017
"AG000652",18504253.00,925211.00,2017
"AG000698",810066448.00,40503320.00,2017
"AG000699",204738241.00,10236910.00,2017
"AG000711",2614050.00,130702.00,2017
"AG000772",251806808.00,12590338.00,2017
"AG000778",81562760.00,4078135.00,2017
"AG000809",11699075.00,584953.00,2017
"AG000827",32663340.00,1633166.00,2017
"AG000833",15285942.00,764295.00,2017
"AG000863",18531731.00,926586.00,2017
"AG000864",6861975.00,343098.00,2017
"AG000865",3459350.00,172966.00,2017
"AG000873",9134600.00,456729.00,2017
"AG000884",8606050.00,430301.00,2017
"AG000895",2894475.00,144723.00,2017
"AG000896",1090175.00,54508.00,2017
"AG000904",65712977.00,3285647.00,2017
"AG000942",41855014.00,2092749.00,2017
"AG000964",10743268.00,537162.00,2017
"AG000965",9955910.00,497794.00,2017
"AG000973",261939268.00,13096961.00,2017
"AG001024",769750.00,38487.00,2017
"AG001031",1964025.00,98201.00,2017
"AG001040",7527275.00,376363.00,2017
"AG001054",18313766.00,915688.00,2017
"AG001216",28104313.00,1405213.00,2017
"AG001235",4173950.00,208697.00,2017
"AG001260",48488129.00,2424405.00,2017
"AG001267",175174747.00,8758735.00,2017
"AG001287",75158232.00,3757909.00,2017
"AG001298",209155416.00,10457770.00,2017
"AG001308",94785482.00,4739273.00,2017
"AG001326",11233893.00,561693.00,2017
"AG001370",10482220.00,524111.00,2017
"AG001378",16742325.00,837115.00,2017
"AG001384",5370850.00,268541.00,2017
"AG001390",3683500.00,184174.00,2017
"AG001423",8100175.00,405008.00,2017
"AG001425",1486325.00,74316.00,2017
"AG001430",25056638.00,1252831.00,2017
"AG001439",1286475.00,64323.00,2017
"AG001443",6457875.00,322893.00,2017
"AG001487",226275.00,11313.00,2017
"AG001507",40699129.00,2034955.00,2017
"AG001508",47821762.00,2391087.00,2017
"AG001523",540965612.00,27048279.00,2017
"AG001551",949900.00,47495.00,2017
"AG001559",22722084.00,1136102.00,2017
"AG001582",16334701.00,816733.00,2017
"AG001583",16166069.00,808303.00,2017
"AG001584",1193764661.00,59688231.00,2017
"AG001613",56495806.00,2824789.00,2017
"AG001632",31486557.00,1574326.00,2017
"AG001636",11680350.00,584017.00,2017
"AG001667",15999838.00,799991.00,2017
"AG001671",7582110.00,379105.00,2017
"AG001675",8622150.00,431107.00,2017
"AG001683",18909641.00,945481.00,2017
"AG001696",16065200.00,803258.00,2017
"AG001713",124184532.00,6209226.00,2017
"AG001717",66206020.00,3310300.00,2017
"AG001735",23036400.00,1151819.00,2017
"AG001743",12319275.00,615963.00,2017
"AG001752",493350.00,-1527448.00,2017
"AG001754",5636900.00,281844.00,2017
"AG001755",79755822.00,3987790.00,2017
"AG001756",5002190.00,250109.00,2017
"AG001764",11009115.00,550454.00,2017
"AG001773",3051245.00,152561.00,2017
"AG001778",305450.00,15272.00,2017
"AG001791",148050.00,7402.00,2017
"AG001793",5887800.00,294390.00,2017
"AG001799",29886048.00,1494301.00,2017
"AG001815",6815085.00,340753.00,2017
"AG001826",5521964.00,276097.00,2017
"AG001831",13328576.00,666428.00,2017
"AG001857",10354775.00,517737.00,2017
"AG001879",7854010.00,392699.00,2017
"AG001880",154780305.00,7739014.00,2017
"AG001887",109327983.00,5466397.00,2017
"AG001938",2208894.00,110444.00,2017
"AG001947",10719750.00,535987.00,2017
"AG001967",29209235.00,1460460.00,2017
"AG001969",249483915.00,12474194.00,2017
"AG001978",2967275.00,148363.00,2017
"AG001992",655050.00,32752.00,2017
"AG001995",158383262.00,7919161.00,2017
"AG001996",2790900.00,139544.00,2017
"AG002001",34041592.00,1702078.00,2017
"AG002012",22737550.00,1136875.00,2017
"AG002024",7838755.00,391937.00,2017
"AG002029",38571975.00,1928597.00,2017
"AG002035",28277068.00,1413852.00,2017
"AG002040",75683109.00,3784153.00,2017
"AG002048",210008666.00,10500433.00,2017
"AG002059",8698097.00,434904.00,2017
"AG002080",18605864.00,930293.00,2017
"AG002114",291995385.00,14599768.00,2017
"AG002117",21081651.00,1054081.00,2017
"AG002118",3229275.00,161463.00,2017
"AG002140",226530497.00,11326524.00,2017
"AG002157",3632925.00,181645.00,2017
"AG002163",16682979.00,834148.00,2017
"AG002164",3604050.00,180201.00,2017
"AG002181",2425170.00,121258.00,2017
"AG002197",1215750.00,60787.00,2017
"AG002212",8362788.00,418139.00,2017
"AG002213",17768172.00,888407.00,2017
"AG002215",17624233.00,881209.00,2017
"AG002219",5338650.00,266932.00,2017
"AG002220",654350.00,32717.00,2017
"AG002232",6924600.00,346230.00,2017
"AG002234",2325900.00,116295.00,2017
"AG002235",61439630.00,3071980.00,2017
"AG002330",1713725.00,85686.00,2017
"AG002342",13017204.00,650859.00,2017
"AG002364",1038725.00,51935.00,2017
"AG002372",18979210.00,948959.00,2017
"AG002375",7076750.00,353837.00,2017
"AG002382",4034340.00,201717.00,2017
"AG002409",23676896.00,1183844.00,2017
"AG002410",38376060.00,1918800.00,2017
"AG002412",3300000.00,165000.00,2017
"AG002463",105113118.00,5255654.00,2017
"AG002477",2395975.00,119798.00,2017
"AG002480",41786429.00,2089319.00,2017
"AG002481",50341586.00,2517078.00,2017
"AG002502",11704400.00,585218.00,2017
"AG002510",1019400.00,50970.00,2017
"AG002522",14397110.00,719854.00,2017
"AG002527",7921990.00,396099.00,2017
"AG002558",40657913.00,2032894.00,2017
"AG002559",52675313.00,2633764.00,2017
"AG002591",7854106.00,392705.00,2017
"AG002593",45206579.00,2260327.00,2017
"AG002598",4671359.00,233567.00,2017
